Subject,type,rowID,member,areamanagerid,areaid,areadesc,startdataarea,enddataarea,usageid,location,deliveryAddress,cityName,lat,long,stateAbbr,zipCode
https://opendata.rdw.nl/resource/t5pc-eb34/row-e7sc~69j9_7q6e,https://opendata.rdw.nl/resource/t5pc-eb34,row-e7sc~69j9_7q6e,t5pc-eb34,2448,957_P5,P5 Roercenter (Roermond),20140101,29991231,GARAGEP,0,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-vw7j_phzc.h8ig,https://opendata.rdw.nl/resource/t5pc-eb34,row-vw7j_phzc.h8ig,t5pc-eb34,2062,537_ZEE,Garage Zeehos (Katwijk),20131105,29991231,GARAGEP,1,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-zk82_agnw.39zs,https://opendata.rdw.nl/resource/t5pc-eb34,row-zk82_agnw.39zs,t5pc-eb34,748,748_PARA,Garage De Parade (Bergen op Zoom),20131022,29991231,GARAGEP,2,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-xr4k-h2hb~rfz4,https://opendata.rdw.nl/resource/t5pc-eb34,row-xr4k-h2hb~rfz4,t5pc-eb34,748,748_ACHT,Garage Achter de Grote Markt (Bergen op Zoom),20131022,29991231,GARAGEP,3,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-yums.hebh~2tgg,https://opendata.rdw.nl/resource/t5pc-eb34,row-yums.hebh~2tgg,t5pc-eb34,2462,796_JBZG,Garage Jeroen Bosch Ziekenhuis ('s-Hertogenbosch),20131114,29991231,GARAGEP,4,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-tgnw~8rmj_khqg,https://opendata.rdw.nl/resource/t5pc-eb34,row-tgnw~8rmj_khqg,t5pc-eb34,2448,603_BOGP1,Garage Bogaardplein P1 (Rijswijk),20140101,29991231,GARAGEP,5,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-9gmn-ipdu~68xf,https://opendata.rdw.nl/resource/t5pc-eb34,row-9gmn-ipdu~68xf,t5pc-eb34,2448,200_MUSE,Garage Museum Centrum (Apeldoorn),20131122,29991231,GARAGEP,6,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-jupk-yjsc~4bgg,https://opendata.rdw.nl/resource/t5pc-eb34,row-jupk-yjsc~4bgg,t5pc-eb34,2448,796_AREN,Garage Arena ('s-Hertogenbosch),20131126,29991231,GARAGEP,7,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-77gr-zcvx~p2j6,https://opendata.rdw.nl/resource/t5pc-eb34,row-77gr-zcvx~p2j6,t5pc-eb34,163,163_NIJV,"""Garage Henri Dunant, Nijverdal (Hellendoorn)""",20160212,29991231,GARAGEP,8,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-wf5t~ktf3-w7yv,https://opendata.rdw.nl/resource/t5pc-eb34,row-wf5t~ktf3-w7yv,t5pc-eb34,2448,402_SILVER,"""Garage Markt, voorheen Silverpoint (Hilversum)""",20140101,29991231,GARAGEP,9,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-bn64.6szm-5hqm,https://opendata.rdw.nl/resource/t5pc-eb34,row-bn64.6szm-5hqm,t5pc-eb34,2459,505_VISS,Garage Visstraat (Dordrecht),20131111,29991231,GARAGEP,10,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-94zb~r266~fw4u,https://opendata.rdw.nl/resource/t5pc-eb34,row-94zb~r266~fw4u,t5pc-eb34,2449,398_ZUID,Garage Zuidtangent (Heerhugowaard),20131107,29991231,GARAGEP,11,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-zyuy~ttq7.qqg2,https://opendata.rdw.nl/resource/t5pc-eb34,row-zyuy~ttq7.qqg2,t5pc-eb34,2062,1926_PARA,Garage Parade (Pijnacker-Nootdorp),20131105,29991231,GARAGEP,12,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-udzc_dzuk.x4cs,https://opendata.rdw.nl/resource/t5pc-eb34,row-udzc_dzuk.x4cs,t5pc-eb34,2448,599_MAAS,Maastoren (Rotterdam),20140101,29991231,GARAGEP,13,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-hn7g-wzqy.4zmm,https://opendata.rdw.nl/resource/t5pc-eb34,row-hn7g-wzqy.4zmm,t5pc-eb34,2459,518_HAVE,Garage Havenkwartier (Den Haag),20131111,29991231,GARAGEP,14,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-r88e_axeb~xhhd,https://opendata.rdw.nl/resource/t5pc-eb34,row-r88e_axeb~xhhd,t5pc-eb34,2448,935_MOSAE,Garage Mosae Forum (Maastricht),20140101,29991231,GARAGEP,15,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-7tx9_m33y~pbbb,https://opendata.rdw.nl/resource/t5pc-eb34,row-7tx9_m33y~pbbb,t5pc-eb34,2062,268_DUK,Garage Dukenburg (Nijmegen),20131105,29991231,GARAGEP,16,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-z44z_6hf5-wbfv,https://opendata.rdw.nl/resource/t5pc-eb34,row-z44z_6hf5-wbfv,t5pc-eb34,2092,363_P2,Garage AMC P2 (Amsterdam),20150101,29991231,GARAGEP,17,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-3erq.kanf-x5x2,https://opendata.rdw.nl/resource/t5pc-eb34,row-3erq.kanf-x5x2,t5pc-eb34,2449,106_NEPT,Garage Neptunusplein (Assen),20131107,29991231,GARAGEP,18,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-fvxj~h3t4.4cna,https://opendata.rdw.nl/resource/t5pc-eb34,row-fvxj~h3t4.4cna,t5pc-eb34,2062,584_VEIL,Garage De Veiling (Oud-Beijerland),20131105,29991231,GARAGEP,19,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-9i5k_5qb2-zii9,https://opendata.rdw.nl/resource/t5pc-eb34,row-9i5k_5qb2-zii9,t5pc-eb34,2448,439_EGG,Garage Eggert (Purmerend),20140101,29991231,GARAGEP,20,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-w5v4.sri7.jxw5,https://opendata.rdw.nl/resource/t5pc-eb34,row-w5v4.sri7.jxw5,t5pc-eb34,2062,505_DRIE,Garage Drievriendenhof / Dordrecht Centre (Dordrecht),20131030,29991231,GARAGEP,21,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-9a7z-qi4x.yf59,https://opendata.rdw.nl/resource/t5pc-eb34,row-9a7z-qi4x.yf59,t5pc-eb34,2091,307_MEAN,Garage Meander Medisch Centrum (Amersfoort),20150101,29991231,GARAGEP,22,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-pt83~pmwm-qsgv,https://opendata.rdw.nl/resource/t5pc-eb34,row-pt83~pmwm-qsgv,t5pc-eb34,2062,362_VD,Garage V&D Centre (Amstelveen),20131030,29991231,GARAGEP,23,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-rjzj~qwrg-r7e8,https://opendata.rdw.nl/resource/t5pc-eb34,row-rjzj~qwrg-r7e8,t5pc-eb34,2449,576_VICT,Garage Victoriberg (Noordwijkerhout),20131107,29991231,GARAGEP,24,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-wesa.8fh5_izhj,https://opendata.rdw.nl/resource/t5pc-eb34,row-wesa.8fh5_izhj,t5pc-eb34,141,141_SERF3,P3 StadsErf (Almelo),20130919,29991231,GARAGEP,25,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-97pg_ayvb.yhcf,https://opendata.rdw.nl/resource/t5pc-eb34,row-97pg_ayvb.yhcf,t5pc-eb34,2449,14_CENTRUM,Garage Centrum (Groningen),20130916,29991231,GARAGEP,26,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-8pan~g82y_nyfp,https://opendata.rdw.nl/resource/t5pc-eb34,row-8pan~g82y_nyfp,t5pc-eb34,2448,758_CENT,Garage Centrum (Breda),20131125,29991231,GARAGEP,27,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-w8g4-irw6.2upj,https://opendata.rdw.nl/resource/t5pc-eb34,row-w8g4-irw6.2upj,t5pc-eb34,141,141_OBORGH,P5 Oosterborgh (Almelo),20130919,29991231,GARAGEP,28,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-rj54_naj8.h3pq,https://opendata.rdw.nl/resource/t5pc-eb34,row-rj54_naj8.h3pq,t5pc-eb34,1674,1674_BIGG,Garage Biggelaar (Roosendaal),20131009,29991231,GARAGEP,29,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-neji.7657_c48a,https://opendata.rdw.nl/resource/t5pc-eb34,row-neji.7657_c48a,t5pc-eb34,141,141_SERF1,P1 StadsErf (Almelo),20130919,29991231,GARAGEP,30,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-wmfx-z8jb-s84d,https://opendata.rdw.nl/resource/t5pc-eb34,row-wmfx-z8jb-s84d,t5pc-eb34,141,141_HDEK,P14 StadsHaven (Almelo),20130919,29991231,GARAGEP,31,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-2bk4~eu48.5ej7,https://opendata.rdw.nl/resource/t5pc-eb34,row-2bk4~eu48.5ej7,t5pc-eb34,141,141_STADPL,P9 StadsBaken (Almelo),20130919,29991231,GARAGEP,32,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-xzrh.zv2w.xa4g,https://opendata.rdw.nl/resource/t5pc-eb34,row-xzrh.zv2w.xa4g,t5pc-eb34,141,141_SERF2,P2 StadsErf (Almelo),20130919,29991231,GARAGEP,33,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-zawq~5smg.xg4j,https://opendata.rdw.nl/resource/t5pc-eb34,row-zawq~5smg.xg4j,t5pc-eb34,2449,599_KRUI,Garage Kruiskade (Rotterdam),20131108,29991231,GARAGEP,34,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-u5r5-cww8~6pgm,https://opendata.rdw.nl/resource/t5pc-eb34,row-u5r5-cww8~6pgm,t5pc-eb34,664,664_STAD,Parkeergarage Stadspoort (Goes),20131009,29991231,GARAGEP,35,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-rdgz-pi4b-iyie,https://opendata.rdw.nl/resource/t5pc-eb34,row-rdgz-pi4b-iyie,t5pc-eb34,664,664_WESTW,Parkeergarage Centrum (Goes),20130918,29991231,GARAGEP,36,,,,,,
