Subject,areaid,enddataarea,rowID,member,startdataarea,usageid,areamanagerid,areadesc,type,location
row-bmxf-a7q4-ch2j,202_ZHRS,29991231,row-bmxf-a7q4-ch2j,t5pc-eb34,20131107,GARAGEP,2449,Garage Ziekenhuis Rijnstate P1 (Arnhem),t5pc-eb34,119
row-2rbv.p5ut~wnfb,363_P23,29991231,row-2rbv.p5ut~wnfb,t5pc-eb34,20131118,GARAGEP,2448,Garage Amsterdamse Poort P23 (Amsterdam),t5pc-eb34,45
row-vas9~yxpc_h74g,772_HEUVEL,29991231,row-vas9~yxpc_h74g,t5pc-eb34,20130919,GARAGEP,2448,Garage Heuvel (Eindhoven),t5pc-eb34,50
row-xzrh.zv2w.xa4g,141_SERF2,29991231,row-xzrh.zv2w.xa4g,t5pc-eb34,20130919,GARAGEP,141,P2 StadsErf (Almelo),t5pc-eb34,33
row-pfz6.6udd~6akn,603_BOGP5,29991231,row-pfz6.6udd~6akn,t5pc-eb34,20140101,GARAGEP,2448,In de Bogaard P5 (Rijswijk),t5pc-eb34,160
row-4r9k~hb74~24wd,785_HOVE,29991231,row-4r9k~hb74~24wd,t5pc-eb34,20131030,GARAGEP,2062,Garage De Hovel (Goirle),t5pc-eb34,53
row-hn7g-wzqy.4zmm,518_HAVE,29991231,row-hn7g-wzqy.4zmm,t5pc-eb34,20131111,GARAGEP,2459,Garage Havenkwartier (Den Haag),t5pc-eb34,14
row-e4dq-yxnu-sct8,518_PARK,29991231,row-e4dq-yxnu-sct8,t5pc-eb34,20131114,GARAGEP,2461,Garage Nieuwe Parklaan (Den Haag),t5pc-eb34,108
row-y3tx~xt58.y7nx,344_LAVIE,29991231,row-y3tx~xt58.y7nx,t5pc-eb34,20140101,GARAGEP,2448,Garage LaVie (Utrecht),t5pc-eb34,156
row-e7sc~69j9_7q6e,957_P5,29991231,row-e7sc~69j9_7q6e,t5pc-eb34,20140101,GARAGEP,2448,P5 Roercenter (Roermond),t5pc-eb34,0
row-47bt.qiwg_w5u5,518_WIJN,29991231,row-47bt.qiwg_w5u5,t5pc-eb34,20140101,GARAGEP,2459,Garage Wijnhaven Centrum (Den Haag),t5pc-eb34,198
row-sc5w.zagp-wtdm,599_ZUIDPL,29991231,row-sc5w.zagp-wtdm,t5pc-eb34,20140101,GARAGEP,2448,Zuidplein (Rotterdam),t5pc-eb34,164
row-krwk.9cks.9tp2,345_ARIE,29991231,row-krwk.9cks.9tp2,t5pc-eb34,20131105,GARAGEP,2062,Garage Arie van Hensbergen (Veenendaal),t5pc-eb34,90
row-5rj7_2iif~kiww,917_TELEP,29991231,row-5rj7_2iif~kiww,t5pc-eb34,20140101,GARAGEP,2448,Garage Teleparking (Heerlen),t5pc-eb34,170
row-zei5.hpik_6j8u,772_BIJENK,29991231,row-zei5.hpik_6j8u,t5pc-eb34,20130919,GARAGEP,2448,Garage Bijenkorf (Eindhoven),t5pc-eb34,47
row-wbkx.f5hw_bn64,599_ALE3,29991231,row-wbkx.f5hw_bn64,t5pc-eb34,20141118,GARAGEP,2448,Garage Alexandrium III Woonmall (Rotterdam),t5pc-eb34,84
row-58tf-td73_q4r5,597_JORIS,29991231,row-58tf-td73_q4r5,t5pc-eb34,20150729,GARAGEP,2448,Garage Jorishof (Ridderkerk),t5pc-eb34,98
