Subject,lat,cityName,long,stateAbbr,deliveryAddress,type,zipCode
54,50.8539581,,5.6929898,,,SpatialThing,
122,51.531197367,,4.45893772,,,SpatialThing,
55,51.9115601,,4.3432202,,,SpatialThing,
123,52.0349312,,4.3159699,,,SpatialThing,
56,52.5131302,,6.08881,,,SpatialThing,
124,51.6893082,,5.1318598,,,SpatialThing,
57,52.080917677,,4.30836174,,,SpatialThing,
125,51.4402313,,5.4756799,,,SpatialThing,
58,52.261438643,,4.554190926,,,SpatialThing,
126,52.025899177,,5.558262638,,,SpatialThing,
59,52.4376984,,4.81744,,,SpatialThing,
127,52.088905334,,5.120224953,,,SpatialThing,
128,51.6446609,,4.8571801,,,SpatialThing,
129,52.336909571,,4.871603916,,,SpatialThing,
60,50.8455811,,5.7013202,,,SpatialThing,
61,52.0611382,,4.4959202,,,SpatialThing,
62,53.2140961,,6.5668283,,,SpatialThing,
63,52.2637215,,6.7916899,,,SpatialThing,
120,52.081002171,,4.397143345,,,SpatialThing,
64,50.8482704,,5.70612,,,SpatialThing,
121,52.3624,,4.891705239,,,SpatialThing,
43,52.1549683,,5.3845501,,,SpatialThing,
133,50.8892593,,5.98177,,,SpatialThing,
44,52.0373993,,4.31357,,,SpatialThing,
134,51.8853302,,4.4934502,,,SpatialThing,
45,52.3143883,,4.9542599,,,SpatialThing,
135,52.375938243,,4.925280878,,,SpatialThing,
46,52.306888272,,6.517820503,,,SpatialThing,
136,51.498063397,,3.606105044,,,SpatialThing,
47,51.4426498,,5.4756799,,,SpatialThing,
137,52.062768328,,4.403607845,,,SpatialThing,
48,52.994743347,,6.565073967,,,SpatialThing,
138,51.9227104,,4.4738102,,,SpatialThing,
49,52.377238041,,4.918585648,,,SpatialThing,
139,51.6900215,,5.3049402,,,SpatialThing,
50,51.4381485,,5.4812999,,,SpatialThing,
51,52.0640602,,4.2999601,,,SpatialThing,
130,51.8700409,,4.6010399,,,SpatialThing,
52,52.0609512,,4.4936099,,,SpatialThing,
131,52.0781784,,4.3042998,,,SpatialThing,
53,51.521431,,5.0676699,,,SpatialThing,
132,52.3143883,,4.9542599,,,SpatialThing,
108,52.1115189,,4.2834101,,,SpatialThing,
229,51.4620285,,5.7959628,,,SpatialThing,
109,52.112,,4.2816,,,SpatialThing,
0,51.1935387,,5.9839802,,,SpatialThing,
76,52.0135803,,4.7123599,,,SpatialThing,
100,52.11343,,4.2933698,,,SpatialThing,
221,52.357372159,,4.927946495,,,SpatialThing,
77,51.879031723,,4.533649375,,,SpatialThing,
101,51.985209906,,5.918879537,,,SpatialThing,
222,50.8873482,,5.9835901,,,SpatialThing,
78,52.02528,,5.5570898,,,SpatialThing,
102,52.3030014,,4.8587599,,,SpatialThing,
223,52.0647011,,4.4929299,,,SpatialThing,
79,52.155055384,,5.381638633,,,SpatialThing,
103,51.496391725,,3.610029401,,,SpatialThing,
224,52.302113,,4.691206,,,SpatialThing,
104,51.9107,,4.3382,,,SpatialThing,
225,50.8495102,,5.6661115,,,SpatialThing,
105,52.664317797,,4.829200221,,,SpatialThing,
226,52.1558304,,5.3949299,,,SpatialThing,
106,52.3568687,,4.8800101,,,SpatialThing,
227,52.3013687,,4.8660202,,,SpatialThing,
107,51.4403,,5.4752,,,SpatialThing,
228,52.362011,,4.87991,,,SpatialThing,
8,52.36480757,,6.462781142,,,SpatialThing,
7,51.6916084,,5.3044,,,SpatialThing,
80,51.9329414,,4.4699702,,,SpatialThing,
6,52.2154579,,5.9565368,,,SpatialThing,
81,51.4663887,,5.4768801,,,SpatialThing,
5,52.0374794,,4.3134599,,,SpatialThing,
82,52.0462112,,5.66996,,,SpatialThing,
4,51.6851997,,5.2856498,,,SpatialThing,
83,52.3662,,4.8986,,,SpatialThing,
3,51.492722895,,4.285031181,,,SpatialThing,
84,51.951295019,,4.56039298,,,SpatialThing,
2,51.49356419,,4.292160152,,,SpatialThing,
85,52.156202174,,4.543810605,,,SpatialThing,
1,52.1990852,,4.3923297,,,SpatialThing,
86,51.530521419,,4.453333199,,,SpatialThing,
220,52.9975282,,6.5669367,,,SpatialThing,
9,52.2264175,,5.1794024,,,SpatialThing,
119,51.999546525,,5.909593105,,,SpatialThing,
65,50.8866806,,5.96943,,,SpatialThing,
111,52.0391808,,4.3113198,,,SpatialThing,
232,52.0799408,,4.3215799,,,SpatialThing,
66,52.3792458,,4.8457198,,,SpatialThing,
112,52.0108795,,4.7038398,,,SpatialThing,
233,52.357459747,,4.892686287,,,SpatialThing,
67,50.8557281,,5.6989298,,,SpatialThing,
113,52.3763618,,4.8945899,,,SpatialThing,
234,52.0467987,,4.3296099,,,SpatialThing,
68,52.3541107,,4.8394499,,,SpatialThing,
114,52.3446,,4.855,,,SpatialThing,
235,52.3357315,,4.8889098,,,SpatialThing,
69,51.73018575,,5.880194405,,,SpatialThing,
115,52.091300383,,5.111839771,,,SpatialThing,
236,52.0468102,,4.2782202,,,SpatialThing,
116,52.2527885,,6.1656899,,,SpatialThing,
117,51.659731129,,5.614937633,,,SpatialThing,
118,52.359131463,,4.882410767,,,SpatialThing,
70,52.3363304,,4.87503,,,SpatialThing,
71,52.0692406,,4.3264098,,,SpatialThing,
72,52.0767,,4.3172,,,SpatialThing,
73,52.3738327,,4.895184,,,SpatialThing,
