Laenge	Breite	Museum	Geopunkt
9.921963594958665	49.800750740896525	Arte Noah	49.8007507409, 9.92196359496
9.962434351892432	49.79641857563095	Atelier & Kunsttreff 26	49.7964185756, 9.96243435189
9.933134210388715	49.793862643493526	Ehem. Städtische Galerie	49.7938626435, 9.93313421039
9.937462702879222	49.797541391357456	Galerie am Bäckerbrunnen	49.7975413914, 9.93746270288
9.909518618217637	49.79988537152413	Galerie Arte	49.7998853715, 9.90951861822
9.920106492314341	49.79525024850772	Galerie des Würzburger Schwulenzentrums	49.7952502485, 9.92010649231
9.927744141013878	49.79735944474753	Galerie für zeitgemäßen Schmuck und Kunst	49.7973594447, 9.92774414101
9.939401132760235	49.763471894799046	Galerie Ilka Klose	49.7634718948, 9.93940113276
9.96005936166245	49.79925797605472	Galerie im Malerfürstentum Wredanien	49.7992579761, 9.96005936166
9.92770257787593	49.791648593565974	Galerie Kelim	49.7916485936, 9.92770257788
9.931088972159307	49.788449528866884	Galerie Kunststück	49.7884495289, 9.93108897216
9.951275209460807	49.80138365988419	Galerie Senefelder 7	49.8013836599, 9.95127520946
9.929914907904173	49.78836109264672	Galerie Sundermann	49.7883610926, 9.9299149079
9.945820492774622	49.789978998186854	Jüdisches Dokumentationszentrum	49.7899789982, 9.94582049277
9.922412744384253	49.80133338502968	Kulturspeicher	49.801333385, 9.92241274438
9.951531096044176	49.78688207742504	Kunstpädagogik	49.7868820774, 9.95153109604
9.917689970812013	49.78995038899069	Mainfränkisches Museum	49.789950389, 9.91768997081
9.938989440300823	49.792768843509336	Martin von Wagner-Museum	49.7927688435, 9.9389894403
9.970106832475413	49.78260221813807	Mineralogisches Museum	49.7826022181, 9.97010683248
9.931556145044148	49.79368667404979	Museum am Dom	49.793686674, 9.93155614504
9.93119414590876	49.792485115804084	"Museum d. Diözese Würzburg ""Würzburger Domschatz"""	49.7924851158, 9.93119414591
9.931976614715856	49.799979898755325	Röntgen-Gedächnisstätte	49.7999798988, 9.93197661472
9.894428635859459	49.79379708615993	Siebold-Museum	49.7937970862, 9.89442863586
9.924073382723423	49.792907989456864	VKU-Galerie Spitäle	49.7929079895, 9.92407338272
