Subject,type,blancs,BUR,candidat,C_BUR,C_CA,C_CI,C_E,coll_insee,CO_N,date,EX,I,nb_voix,N_BUR,N_CA,N_CI,N_E,P,%,tour,VO
id01,rec,13,40GM,Emmanuel MACRON,40,4,1,55,18033,B,2022-04-10,299,623,76,GM,CB-2,1CI,EP1T,5.008e+01,2.542e+01,1,312
id02,rec,13,40GM,Jean LASSALLE,40,4,1,55,18033,B,2022-04-10,299,623,9,GM,CB-2,1CI,EP1T,5.008e+01,3.01e+00,1,312
id03,rec,13,40GM,Valérie PÉCRESSE,40,4,1,55,18033,B,2022-04-10,299,623,6,GM,CB-2,1CI,EP1T,5.008e+01,2.01e+00,1,312
id04,rec,13,40GM,Marine LE PEN,40,4,1,55,18033,B,2022-04-10,299,623,57,GM,CB-2,1CI,EP1T,5.008e+01,1.906e+01,1,312
id05,rec,13,40GM,Nicolas DUPONT-AIGNAN,40,4,1,55,18033,B,2022-04-10,299,623,7,GM,CB-2,1CI,EP1T,5.008e+01,2.34e+00,1,312
id06,rec,13,40GM,Nathalie ARTHAUD,40,4,1,55,18033,B,2022-04-10,299,623,3,GM,CB-2,1CI,EP1T,5.008e+01,1e+00,1,312
id07,rec,13,40GM,Anne HIDALGO,40,4,1,55,18033,B,2022-04-10,299,623,6,GM,CB-2,1CI,EP1T,5.008e+01,2.01e+00,1,312
id08,rec,13,40GM,Fabien ROUSSEL,40,4,1,55,18033,B,2022-04-10,299,623,5,GM,CB-2,1CI,EP1T,5.008e+01,1.67e+00,1,312
id09,rec,13,40GM,Jean-Luc MÉLENCHON,40,4,1,55,18033,B,2022-04-10,299,623,108,GM,CB-2,1CI,EP1T,5.008e+01,3.612e+01,1,312
id10,rec,13,40GM,Philippe POUTOU,40,4,1,55,18033,B,2022-04-10,299,623,3,GM,CB-2,1CI,EP1T,5.008e+01,1e+00,1,312
id11,rec,13,40GM,Éric ZEMMOUR,40,4,1,55,18033,B,2022-04-10,299,623,16,GM,CB-2,1CI,EP1T,5.008e+01,5.35e+00,1,312
id12,rec,13,40GM,Yannick JADOT,40,4,1,55,18033,B,2022-04-10,299,623,3,GM,CB-2,1CI,EP1T,5.008e+01,1e+00,1,312
