CO_N,coll_insee,BUR,C_E,N_E,tour,date,C_BUR,N_BUR,C_CI,N_CI,C_CA,N_CA,I,VO,P,blancs,EX,candidat,nb_voix,%,Subject,type
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Emmanuel MACRON,76,25,42,id01,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Jean LASSALLE,9,3,01,id02,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Valérie PÉCRESSE,6,2,01,id03,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Marine LE PEN,57,19,06,id04,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Nicolas DUPONT-AIGNAN,7,2,34,id05,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Nathalie ARTHAUD,3,1,00,id06,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Anne HIDALGO,6,2,01,id07,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Fabien ROUSSEL,5,1,67,id08,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Jean-Luc MÉLENCHON,108,36,12,id09,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Philippe POUTOU,3,1,00,id10,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Éric ZEMMOUR,16,5,35,id11,rec
B,18033,40GM,55,EP1T,1,10.04.2022,40,GM,1,1CI,4,CB-2,623,312,50.08,13,299,Yannick JADOT,3,1,00,id12,rec
