CO_N;COLL_INSEE;BUR;C_E;N_E;TOUR;DATE;C_BUR;N_BUR;C_CI;N_CI;C_CA;N_CA;I;VO;P;BLANCS;NULS;EXPRIMES;CANDIDAT;NB_VOIX;%
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Nathalie ARTHAUD;3;1.0
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Fabien ROUSSEL;5;1.67
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Emmanuel MACRON;76;25.42
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Jean LASSALLE;9;3.01
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Marine LE PEN;57;19.06
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Éric ZEMMOUR;16;5.35
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Jean-Luc MÉLENCHON;108;36.12
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Anne HIDALGO;6;2.01
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Yannick JADOT;3;1.0
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Valérie PÉCRESSE;6;2.01
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Philippe POUTOU;3;1.0
BOURGES;18033;40 - GM;55;EP1T;1;2022-04-10;40;GM;1;1CI;4;CB-2;623;312;50.08;13;0;299;Nicolas DUPONT-AIGNAN;7;2.34
