id,psp_id,psp_canale,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto,modello,ultima_modifica_data,ora
35006656,CIPBITMM,,Nexi,80050050154,Regione Lombardia,20124,MI,16,04/01/2025,MARCA_BOLLO_VIRTUALE_001,3,04/01/2025 11:31:34 AM,11
35006655,PPAYITR1XXX,,Postepay,00115260143,Comune di Samolaco,22027,SO,22,04/01/2025,emiccsie,3,04/01/2025 11:31:34 AM,11
35006654,PPAYITR1XXX,,Postepay,01516690151,Comune di Barlassina,20825,MB,12,04/01/2025,canonelucevotiva,3,04/01/2025 11:31:33 AM,11
35006653,SIGPITM1XXX,,MOONEY S.P.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.38,04/01/2025,solleciti,3,04/01/2025 11:31:27 AM,11
35006652,PPAYITR1XXX,,Postepay,04114400163,ATS di Bergamo,24121,BG,23.95,04/01/2025,ATS325_REG_TICKET,3,04/01/2025 11:31:16 AM,11
35006651,PPAYITR1XXX,,Postepay,00397220187,Comune di Belgioioso,27011,PV,100,04/01/2025,nv_trasportoscolastico,3,04/01/2025 11:31:06 AM,11
35006650,SIGPITM1XXX,,MOONEY S.P.A.,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.61,04/01/2025,sin_sollecito,3,04/01/2025 11:31:05 AM,11
35006649,SIGPITM1XXX,,MOONEY S.P.A.,80005370137,Comune di Como,22100,CO,162,04/01/2025,TC_SERVIZI_CIMITERIALI,3,04/01/2025 11:31:04 AM,11
35006648,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.59,04/01/2025,solleciti,3,04/01/2025 11:31:02 AM,11
35006647,PPAYITR1XXX,,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,3.83,04/01/2025,solleciti,3,04/01/2025 11:30:51 AM,11
35006646,PPAYITR1XXX,,Postepay,00324770189,Comune di Mortara,27036,PV,65.6,04/01/2025,SS_MENSE,3,04/01/2025 11:30:50 AM,11
35006645,BIC36019,,American Express Payment Services,80050050154,Regione Lombardia,20124,MI,261.23,04/01/2025,Tassa Auto,3,04/01/2025 11:30:45 AM,11
35006644,PPAYITR1XXX,,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,82.89,04/01/2025,ALER_PV,3,04/01/2025 11:30:41 AM,11
35006643,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,136.1,04/01/2025,ts_sanamm,3,04/01/2025 11:30:32 AM,11
35006642,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,91.07,04/01/2025,mensascolasticaprimaria,3,04/01/2025 11:30:32 AM,11
35006641,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,56.51,04/01/2025,mensascolasticaprimaria,3,04/01/2025 11:30:32 AM,11
35006639,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,102,04/01/2025,ts_sanamm,3,04/01/2025 11:30:30 AM,11
35006638,BIC32698,,LIS Pay SPA,85001870188,Comune di Vigevano,27029,PV,70.48,04/01/2025,ts_verbali_cds,3,04/01/2025 11:30:28 AM,11
35006637,SIGPITM1XXX,,MOONEY S.P.A.,00761890177,Comune di Brescia,25121,BS,57,04/01/2025,ts_sanamm,3,04/01/2025 11:30:26 AM,11
35006636,PPAYITR1XXX,,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,1.09,04/01/2025,pedaggi,3,04/01/2025 11:30:20 AM,11
35006635,ABI05387,,BPER,00296180185,Comune di Pavia,27100,PV,100,04/01/2025,servizicimiteriali,3,04/01/2025 11:30:16 AM,11
35006634,CIPBITMM,,Nexi,00761890177,Comune di Brescia,25121,BS,96.35,04/01/2025,mensascolasticaprimaria,3,04/01/2025 11:30:12 AM,11
