Subject,type,rowID,member,id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto,modello,ultima_modifica_data,ora
row-tzt9-mqtk_jvz2,dr3m-v3by,row-tzt9-mqtk_jvz2,dr3m-v3by,35006656,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,16.00,2025-01-04T00:00:00,MARCA_BOLLO_VIRTUALE_001,3,2025-01-04T11:31:34,11
row-5nmn_vqkq~dftv,dr3m-v3by,row-5nmn_vqkq~dftv,dr3m-v3by,35006655,PPAYITR1XXX,Postepay,00115260143,Comune di Samolaco,22027,SO,22.00,2025-01-04T00:00:00,emiccsie,3,2025-01-04T11:31:34,11
row-erfu~zmj3-i2tb,dr3m-v3by,row-erfu~zmj3-i2tb,dr3m-v3by,35006654,PPAYITR1XXX,Postepay,01516690151,Comune di Barlassina,20825,MB,12.00,2025-01-04T00:00:00,canonelucevotiva,3,2025-01-04T11:31:33,11
row-ccgk~antq-npi8,dr3m-v3by,row-ccgk~antq-npi8,dr3m-v3by,35006653,SIGPITM1XXX,MOONEY S.P.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.38,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:31:27,11
row-8hnb~nf4t_xqe2,dr3m-v3by,row-8hnb~nf4t_xqe2,dr3m-v3by,35006652,PPAYITR1XXX,Postepay,04114400163,ATS di Bergamo,24121,BG,23.95,2025-01-04T00:00:00,ATS325_REG_TICKET,3,2025-01-04T11:31:16,11
row-7j6f_xi7v.d5ei,dr3m-v3by,row-7j6f_xi7v.d5ei,dr3m-v3by,35006651,PPAYITR1XXX,Postepay,00397220187,Comune di Belgioioso,27011,PV,100.00,2025-01-04T00:00:00,nv_trasportoscolastico,3,2025-01-04T11:31:06,11
row-kgju~zduy_r6tz,dr3m-v3by,row-kgju~zduy_r6tz,dr3m-v3by,35006650,SIGPITM1XXX,MOONEY S.P.A.,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.61,2025-01-04T00:00:00,sin_sollecito,3,2025-01-04T11:31:05,11
row-yuk7_z6nf~22ny,dr3m-v3by,row-yuk7_z6nf~22ny,dr3m-v3by,35006649,SIGPITM1XXX,MOONEY S.P.A.,80005370137,Comune di Como,22100,CO,162.00,2025-01-04T00:00:00,TC_SERVIZI_CIMITERIALI,3,2025-01-04T11:31:04,11
row-rmy7~etcs.d89w,dr3m-v3by,row-rmy7~etcs.d89w,dr3m-v3by,35006648,BPPIITRRXXX,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.59,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:31:02,11
row-3qcm-xh9c-ruv9,dr3m-v3by,row-3qcm-xh9c-ruv9,dr3m-v3by,35006647,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,3.83,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:30:51,11
row-eub9~hcsj-8y95,dr3m-v3by,row-eub9~hcsj-8y95,dr3m-v3by,35006646,PPAYITR1XXX,Postepay,00324770189,Comune di Mortara,27036,PV,65.60,2025-01-04T00:00:00,SS_MENSE,3,2025-01-04T11:30:50,11
row-9cm3.umya-cy5r,dr3m-v3by,row-9cm3.umya-cy5r,dr3m-v3by,35006645,BIC36019,American Express Payment Services,80050050154,Regione Lombardia,20124,MI,261.23,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T11:30:45,11
row-czmw_rdgh.5gx6,dr3m-v3by,row-czmw_rdgh.5gx6,dr3m-v3by,35006644,PPAYITR1XXX,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,82.89,2025-01-04T00:00:00,ALER_PV,3,2025-01-04T11:30:41,11
row-natm_ggdx~wxpj,dr3m-v3by,row-natm_ggdx~wxpj,dr3m-v3by,35006643,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,136.10,2025-01-04T00:00:00,ts_sanamm,3,2025-01-04T11:30:32,11
row-ze3k~7yff~qq7d,dr3m-v3by,row-ze3k~7yff~qq7d,dr3m-v3by,35006642,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,91.07,2025-01-04T00:00:00,mensascolasticaprimaria,3,2025-01-04T11:30:32,11
row-bict-qfyb-qthw,dr3m-v3by,row-bict-qfyb-qthw,dr3m-v3by,35006641,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,56.51,2025-01-04T00:00:00,mensascolasticaprimaria,3,2025-01-04T11:30:32,11
row-ivhv.twft.i39b,dr3m-v3by,row-ivhv.twft.i39b,dr3m-v3by,35006639,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,102.00,2025-01-04T00:00:00,ts_sanamm,3,2025-01-04T11:30:30,11
