ID_OKRSKY,TYP_FORM,OPRAVA,CHYBA,OKRES,OBEC,OKRSEK,KC_1,KC_2,ZAKRSTRANA,VOL_SEZNAM,VYD_OBALKY,ODEVZ_OBAL,PL_HL_CELK
1,1,0,0,7204,500011,1,6,2231,"111110110101101111011100000000000000000000000000000000000000",717,505,505,504
2,1,0,0,7204,500011,2,0,1295,"111110111101100011010000000000000000000000000000000000000000",435,288,288,284
3,1,0,0,7204,500011,3,1,1261,"101110011001101111011000000000000000000000000000000000000000",394,289,289,289
4,1,0,0,7105,500020,1,2,747,"111110010101100011010100000000000000000000000000000000000000",268,160,160,159
5,1,0,0,7105,500020,2,3,2091,"101110110101101011011100000000000000000000000000000000000000",729,455,455,452
6,1,0,0,8104,500046,1,6,4229,"111110111101101111010100000000000000000000000000000000000000",1384,952,952,941
7,1,0,0,1100,500054,1000,2,1892,"111110110101101111010000000000000000000000000000000000000000",475,474,472,471
8,1,0,0,1100,500054,1001,3,2218,"111110010011101011010000000000000000000000000000000000000000",679,515,514,510
9,1,0,0,1100,500054,1002,4,3177,"111110010001111111010000000000000000000000000000000000000000",1005,726,726,720
10,1,0,0,1100,500054,1003,5,2514,"111110010101110111010000000000000000000000000000000000000000",755,591,587,581
11,1,0,0,1100,500054,1004,6,2454,"101111011001110111010100000000000000000000000000000000000000",785,559,559,551
12,1,0,0,1100,500054,1005,0,2025,"101110011101100111011000000000000000000000000000000000000000",615,470,470,470
13,1,0,0,1100,500054,1006,1,4206,"111111010011111111011000000000000000000000000000000000000000",1301,974,974,957
14,1,0,0,1100,500054,1007,2,3143,"111110010111100111010000000000000000000000000000000000000000",1032,709,709,693
15,1,0,0,1100,500054,1008,3,2642,"111111011101111111011100000000000000000000000000000000000000",835,604,604,599
16,1,0,0,1100,500054,1009,4,2716,"111110010001110111011000000000000000000000000000000000000000",903,605,605,603
17,1,0,0,1100,500054,1010,5,1598,"101110110101111111010100000000000000000000000000000000000000",503,366,366,363
18,1,0,0,1100,500054,1011,6,4486,"111111111101110111011000000000000000000000000000000000000000",1624,959,957,946
19,1,0,0,1100,500054,1012,0,2390,"111110011001110111011000000000000000000000000000000000000000",792,533,533,532
20,1,0,0,1100,500054,1013,1,1627,"111110011001100111010000000000000000000000000000000000000000",527,368,368,364
21,1,0,0,1100,500054,1014,2,3994,"111110011101100111011000000000000000000000000000000000000000",1309,901,899,885
22,1,0,0,1100,500054,1015,3,4040,"111111011101110111011000000000000000000000000000000000000000",1395,884,884,877
23,1,0,0,1100,500054,1016,4,2474,"111110010101110111010000000000000000000000000000000000000000",833,549,549,543
24,1,0,0,1100,500054,1017,5,2768,"111110011011101011011000000000000000000000000000000000000000",935,614,614,605
25,1,0,0,1100,500054,1018,6,3146,"111110011101111111010000000000000000000000000000000000000000",1052,705,704,685
26,1,0,0,1100,500054,1019,0,3259,"111110011011100011011000000000000000000000000000000000000000",1072,732,731,724
27,1,0,0,1100,500054,1020,1,3978,"101110111111100111010000000000000000000000000000000000000000",1878,705,701,694
28,1,0,0,1100,500054,1021,2,3550,"111110110101110011011000000000000000000000000000000000000000",1144,804,804,798
29,1,0,0,7203,500062,1,2,5168,"111110111101101111011100000000000000000000000000000000000000",1660,1172,1172,1164
30,1,0,0,7203,500071,1,5,4555,"111110011101101111011100000000000000000000000000000000000000",1414,1050,1048,1043
31,1,0,0,1100,500089,2001,2,1468,"111111010101110011010000000000000000000000000000000000000000",485,329,329,325
32,1,0,0,1100,500089,2002,3,1090,"100111010001100011010000000000000000000000000000000000000000",335,252,252,251
33,1,0,0,1100,500089,2003,4,2166,"101110110101101111011000000000000000000000000000000000000000",716,485,485,480
34,1,0,0,1100,500089,2004,5,2535,"101110111001110111010000000000000000000000000000000000000000",802,582,582,569
35,1,0,0,1100,500089,2005,6,1948,"111110011001110111010000000000000000000000000000000000000000",604,449,448,447
36,1,0,0,1100,500089,2006,0,2155,"101110011011100111010000000000000000000000000000000000000000",677,495,495,488
37,1,0,0,1100,500089,2007,1,2356,"111110010101110011011000000000000000000000000000000000000000",731,542,542,541
38,1,0,0,1100,500089,2008,2,1768,"110110010001100111010000000000000000000000000000000000000000",596,394,394,384
39,1,0,0,1100,500089,2009,3,2224,"111110110001110011010000000000000000000000000000000000000000",724,503,503,494
40,1,0,0,1100,500089,2010,4,2070,"111110010101101011010000000000000000000000000000000000000000",646,476,476,472
41,1,0,0,1100,500089,2011,5,2059,"111110010001110011011000000000000000000000000000000000000000",653,469,469,468
42,1,0,0,1100,500089,2012,6,1820,"111111010101100011011000000000000000000000000000000000000000",621,401,401,397
43,1,0,0,1100,500089,2013,0,1782,"111110010001100011010000000000000000000000000000000000000000",496,431,431,424
44,1,0,0,1100,500089,2014,1,1848,"111111010101101011010000000000000000000000000000000000000000",600,417,416,415
45,1,0,1,1100,500089,2015,2,1664,"100110110001101111011100000000000000000000000000000000000000",508,384,386,386
46,1,0,0,1100,500089,2016,3,2456,"111110010011100011011000000000000000000000000000000000000000",803,554,552,547
47,1,0,0,1100,500089,2017,4,2169,"101110011101110111011000000000000000000000000000000000000000",660,505,504,500
48,1,0,0,1100,500089,2018,5,2474,"111111011001110111010000000000000000000000000000000000000000",793,561,561,559
49,1,0,0,1100,500089,2019,6,1930,"111110010001100011011000000000000000000000000000000000000000",621,438,438,433
50,1,0,0,1100,500089,2020,0,3669,"111110011011100111011000000000000000000000000000000000000000",1769,638,638,624
51,1,0,0,1100,500089,2021,1,1927,"111111011101111011011000000000000000000000000000000000000000",661,424,424,418
52,1,0,0,1100,500089,2022,2,2382,"101110011001100011010000000000000000000000000000000000000000",788,533,533,528
53,1,0,0,1100,500089,2023,3,2351,"111111111001110111011000000000000000000000000000000000000000",774,526,526,525
54,1,0,0,1100,500089,2024,4,2476,"111110010001110111011000000000000000000000000000000000000000",783,566,566,561
55,1,0,0,1100,500089,2025,5,2237,"111110111001111011010000000000000000000000000000000000000000",720,507,507,503
56,1,0,0,1100,500089,2026,6,2056,"101111010001100011010000000000000000000000000000000000000000",645,473,472,466
57,1,0,0,1100,500089,2027,0,2815,"111110011101110011011000000000000000000000000000000000000000",975,615,615,610
58,1,0,0,1100,500089,2028,1,3261,"111111011101110111010000000000000000000000000000000000000000",1083,727,727,724
59,1,0,0,1100,500089,2029,2,2194,"111110010001111111011000000000000000000000000000000000000000",784,473,472,465
60,1,0,0,1100,500089,2030,3,2103,"111111011101111111011100000000000000000000000000000000000000",725,461,461,456
61,1,0,0,1100,500089,2031,4,1662,"101111011001100011011100000000000000000000000000000000000000",545,374,374,369
62,1,0,0,1100,500089,2032,5,2755,"111111111011111111010000000000000000000000000000000000000000",938,611,610,596
63,1,0,0,1100,500089,2033,6,2752,"111110110101100111011100000000000000000000000000000000000000",876,628,628,620
