"poradi","poskytovatel","druh_podpory_kod","druh_podpory_popis","rok","stav_podpory","vyse_podpory"
"1","AV0","CAV","Podpora činnosti pracovišť AV ČR","2011","CER-1","707469000.00"
"2","AV0","CAV","Podpora činnosti pracovišť AV ČR","2012","PRI","987632000.00"
"3","AV0","CAV","Podpora činnosti pracovišť AV ČR","2012","CER-1","996506000.00"
"4","AV0","CAV","Podpora činnosti pracovišť AV ČR","2013","PRI","0.00"
"5","AV0","CAV","Podpora činnosti pracovišť AV ČR","2013","CER-1","0.00"
"6","AV0","CAV","Podpora činnosti pracovišť AV ČR","2014","PRI","0.00"
"7","AV0","CIN","Náklady spojené s činností poskytovatele","2010","CER-1","743648000.00"
"8","AV0","CIN","Náklady spojené s činností poskytovatele","2011","CER-1","733509000.00"
"9","AV0","CIN","Náklady spojené s činností poskytovatele","2012","PRI","779852000.00"
"10","AV0","CIN","Náklady spojené s činností poskytovatele","2012","CER-1","771065000.00"
"11","AV0","CIN","Náklady spojené s činností poskytovatele","2013","PRI","1130129000.00"
"12","AV0","CIN","Náklady spojené s činností poskytovatele","2013","CER-1","1136661000.00"
"13","AV0","CIN","Náklady spojené s činností poskytovatele","2014","PRI","1449462000.00"
"14","AV0","CIN","Náklady spojené s činností poskytovatele","2014","CER-1","1449463000.00"
"15","AV0","CIN","Náklady spojené s činností poskytovatele","2015","PRI","1451425000.00"
"16","AV0","CIN","Náklady spojené s činností poskytovatele","2015","CER-1","1523414000.00"
"17","AV0","CIN","Náklady spojené s činností poskytovatele","2016","PRI","1427737000.00"
"18","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2010","CER-1","680000.00"
"19","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2011","CER-1","2400000.00"
"20","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2012","PRI","596000.00"
"21","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2012","CER-1","596000.00"
"22","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2013","PRI","596000.00"
"23","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2013","CER-1","596000.00"
"24","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2014","PRI","596000.00"
"25","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2014","CER-1","596000.00"
"26","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2015","PRI","596000.00"
"27","AV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2011","CER-1","7200000.00"
"28","AV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","PRI","6629000.00"
"29","AV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","CER-1","6629000.00"
"30","AV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","PRI","6629000.00"
"31","AV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","CER-1","6629000.00"
"32","AV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2014","PRI","0.00"
"33","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2011","PRI","95704000.00"
"34","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2010","CER-1","55785000.00"
"35","KHP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2011","CER-1","0.00"
"36","KHP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","PRI","20000000.00"
"37","MD0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2009","CER-1","4200000.00"
"38","MD0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2010","CER-1","5120000.00"
"39","MMR","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2009","CER-1","2000000.00"
"40","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2009","CER-1","884000.00"
"41","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2010","CER-1","677000.00"
"42","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2011","CER-1","623000.00"
"43","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","PRI","3340000.00"
"44","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","CER-1","927000.00"
"45","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","PRI","3243000.00"
"46","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","CER-1","470000.00"
"47","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2014","PRI","3340000.00"
"48","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2014","CER-1","624000.00"
"49","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2015","PRI","3340000.00"
"50","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2015","CER-1","947000.00"
"51","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2016","PRI","3340000.00"
"52","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2009","CER-1","0.00"
"53","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2010","CER-1","6971000.00"
"54","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2011","CER-1","5058000.00"
"55","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","PRI","7636000.00"
"56","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","CER-1","5058000.00"
"57","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","PRI","7634000.00"
"58","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","CER-1","7634000.00"
"59","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2014","PRI","7634000.00"
"60","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2014","CER-1","7634000.00"
"61","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2015","PRI","7634000.00"
"62","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2015","CER-1","7634000.00"
"63","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2016","PRI","7634000.00"
"64","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2009","CER-1","500000.00"
"65","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2010","CER-1","500000.00"
"66","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2011","CER-1","650000.00"
"67","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2012","PRI","500000.00"
"68","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2012","CER-1","500000.00"
"69","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2013","PRI","650000.00"
"70","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2013","CER-1","650000.00"
"71","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2014","PRI","650000.00"
"72","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2014","CER-1","900000.00"
"73","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2015","PRI","900000.00"
"74","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2015","CER-1","900000.00"
"75","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2016","PRI","900000.00"
"76","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2009","CER-1","6809000.00"
"77","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2010","CER-1","4740000.00"
"78","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2011","CER-1","5890000.00"
"79","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","PRI","13050000.00"
"80","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2012","CER-1","13050000.00"
"81","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2013","PRI","12519000.00"
